classes,new_ids
巴黎翠凤蝶,AAaa0007014
柑橘凤蝶,AAaa0007024
玉带凤蝶,AAaa0007008
碧凤蝶,AAaa0007015
红基美凤蝶,AAaa0007005
蓝凤蝶,AAaa0007002
金裳凤蝶,AAaa0001002
青凤蝶,AAaa0010001
朴喙蝶,AIxx0001001
密纹飒弄蝶,ALab0014002
小黄斑弄蝶,ALac0043003
无斑珂弄蝶,ALac0021001
直纹稻弄蝶,ALac0022001
花弄蝶,ALab0019003
隐纹谷弄蝶,ALac0023004
绢斑蝶,ADaa0003004
虎斑蝶,ADaa0001003
亮灰蝶,AKae0013001
咖灰蝶,AKae0012001
大紫琉璃灰蝶,AKae0027003
婀灰蝶,AKae0035001
曲纹紫灰蝶,AKae0037001
波太玄灰蝶,AKae0021005
玄灰蝶,AKae0021003
红灰蝶,AKad0002001
线灰蝶,AKac0018001
维纳斯眼灰蝶,AKae0040002
艳灰蝶,AKac0011001
蓝灰蝶,AKae0019001
青海红珠灰蝶,AKae0038002
古北拟酒眼蝶,AFae0005001
阿芬眼蝶,AFae0022001
拟稻眉眼蝶,AFab0014005
牧女珍眼蝶,AFae0021001
白眼蝶,AFae0001002
菩萨酒眼蝶,AFae0020003
西门珍眼蝶,AFae0021006
边纹黛眼蝶,AFab0001037
云粉蝶,ACab0009002
侏粉蝶,ACab0011001
大卫粉蝶,ACab0008009
大翅绢粉蝶,ACab0005009
宽边黄粉蝶,ACaa0004002
山豆粉蝶,ACaa0003007
橙黄豆粉蝶,ACaa0003002
突角小粉蝶,ACac0001001
箭纹云粉蝶,ACab0009003
箭纹绢粉蝶,ACab0005005
红襟粉蝶,ACab0015003
绢粉蝶,ACab0005001
菜粉蝶,ACab0008002
镉黄迁粉蝶,ACaa0001002
黎明豆粉蝶,ACaa0003004
依帕绢蝶,AMxx0001002
四川绢蝶,AMxx0001003
珍珠绢蝶,AMxx0001001
蛇目褐蚬蝶,AJaa0003006
中环蛱蝶,AGaf0019004
云豹蛱蝶,AGae0011001
伊诺小豹蛱蝶,AGae0012003
小红蛱蝶,AGai0006002
扬眉线蛱蝶,AGaf0005009
斐豹蛱蝶,AGae0008001
曲斑珠蛱蝶,AGae0021001
柱菲蛱蝶,AGaf0020002
柳紫闪蛱蝶,AGac0001002
灿福蛱蝶,AGae0017003
玄珠带蛱蝶,AGaf0006013
珍蛱蝶,AGae0018001
琉璃蛱蝶,AGai0007001
白钩蛱蝶,AGai0009001
秀蛱蝶,AGad0001001
绢蛱蝶,AGaj0001002
绿豹蛱蝶,AGae0007001
网蛱蝶,AGai0016010
美眼蛱蝶,AGai0011001
翠蓝眼蛱蝶,AGai0011002
老豹蛱蝶,AGae0009001
荨麻蛱蝶,AGai0005001
虬眉带蛱蝶,AGaf0006002
蟾福蛱蝶,AGae0017002
钩翅眼蛱蝶,AGai0011006
银斑豹蛱蝶,AGae0016001
银豹蛱蝶,AGae0015001
链环蛱蝶,AGaf0019047
锦瑟蛱蝶,AGaf0015001
黄环蛱蝶,AGaf0019038
黄钩蛱蝶,AGai0009002
黑网蛱蝶,AGai0016009
尖翅翠蛱蝶,AGaf0003010
素弄蝶,ALac0033001
翠袖锯眼蝶,AFab0019003
蓝点紫斑蝶,ADaa0006001
雅弄蝶,ALac0003001
